DATA;VALOR IPCA;IPCA_VARIACAO_MENSAL%;IPCA_VARIACAO_3MESES%;IPCA_VARIACAO_6MESSES%;IPCA_VARIACAO_NOANO%;IPCA_VARIACAO_12MESES%
01/07/1994;915,93;6,84;126,87;548,17;815,93;4005,08
01/08/1994;932,97;1,86;60,44;370,67;832,97;3044,89
01/09/1994;947,24;1,53;10,49;234,76;847,24;2253,15
01/10/1994;972,06;2,62;6,13;140,77;872,06;1703,17
01/11/1994;999,37;2,81;7,12;71,86;899,37;1267,54
01/12/1994;1016,46;1,71;7,31;18,57;916,46;916,46
01/01/1995;1033,74;1,7;6,35;12,86;1,7;631,54
01/02/1995;1044,28;1,02;4,49;11,93;2,74;426,83
01/03/1995;1060,47;1,55;4,33;11,95;4,33;274,78
01/04/1995;1086,24;2,43;5,08;11,75;6,87;169,05
01/05/1995;1115,24;2,67;6,8;11,59;9,72;91,79
01/06/1995;1140,44;2,26;7,54;12,2;12,2;33,03
01/07/1995;1167,35;2,36;7,47;12,92;14,84;27,45
01/08/1995;1178,91;0,99;5,71;12,89;15,98;26,36
01/09/1995;1190,58;0,99;4,4;12,27;17,13;25,69
01/10/1995;1207,37;1,41;3,43;11,15;18,78;24,21
01/11/1995;1225,12;1,47;3,92;9,85;20,53;22,59
01/12/1995;1244,23;1,56;4,51;9,1;22,41;22,41
01/01/1996;1260,9;1,34;4,43;8,01;1,34;21,97
01/02/1996;1273,89;1,03;3,98;8,06;2,38;21,99
01/03/1996;1278,35;0,35;2,74;7,37;2,74;20,55
01/04/1996;1294,46;1,26;2,66;7,21;4,04;19,17
01/05/1996;1310,25;1,22;2,85;6,95;5,31;17,49
01/06/1996;1325,84;1,19;3,71;6,56;6,56;16,26
01/07/1996;1340,56;1,11;3,56;6,32;7,74;14,84
01/08/1996;1346,46;0,44;2,76;5,7;8,22;14,21
01/09/1996;1348,48;0,15;1,71;5,49;8,38;13,26
01/10/1996;1352,53;0,3;0,89;4,49;8,7;12,02
01/11/1996;1356,86;0,32;0,77;3,56;9,05;10,75
01/12/1996;1363,24;0,47;1,09;2,82;9,56;9,56
01/01/1997;1379,33;1,18;1,98;2,89;1,18;9,39
01/02/1997;1386,23;0,5;2,16;2,95;1,69;8,82
01/03/1997;1393,3;0,51;2,21;3,32;2,21;8,99
01/04/1997;1405,56;0,88;1,9;3,92;3,1;8,58
01/05/1997;1411,32;0,41;1,81;4,01;3,53;7,71
01/06/1997;1418,94;0,54;1,84;4,09;4,09;7,02
01/07/1997;1422,06;0,22;1,17;3,1;4,31;6,08
01/08/1997;1421,78;-0,02;0,74;2,56;4,29;5,59
01/09/1997;1422,63;0,06;0,26;2,11;4,36;5,5
01/10/1997;1425,9;0,23;0,27;1,45;4,6;5,42
01/11/1997;1428,32;0,17;0,46;1,2;4,77;5,27
01/12/1997;1434,46;0,43;0,83;1,09;5,22;5,22
01/01/1998;1444,64;0,71;1,31;1,59;0,71;4,73
01/02/1998;1451,29;0,46;1,61;2,08;1,17;4,69
01/03/1998;1456,22;0,34;1,52;2,36;1,52;4,52
01/04/1998;1459,71;0,24;1,04;2,37;1,76;3,85
01/05/1998;1467,01;0,5;1,08;2,71;2,27;3,95
01/06/1998;1467,3;0,02;0,76;2,29;2,29;3,41
01/07/1998;1465,54;-0,12;0,4;1,45;2,17;3,06
01/08/1998;1458,07;-0,51;-0,61;0,47;1,65;2,55
01/09/1998;1454,86;-0,22;-0,85;-0,09;1,42;2,27
01/10/1998;1455,15;0,02;-0,71;-0,31;1,44;2,05
01/11/1998;1453,4;-0,12;-0,32;-0,93;1,32;1,76
01/12/1998;1458,2;0,33;0,23;-0,62;1,65;1,65
01/01/1999;1468,41;0,7;0,91;0,2;0,7;1,65
01/02/1999;1483,83;1,05;2,09;1,77;1,76;2,24
01/03/1999;1500,15;1,1;2,88;3,11;2,88;3,02
01/04/1999;1508,55;0,56;2,73;3,67;3,45;3,35
01/05/1999;1513,08;0,3;1,97;4,11;3,76;3,14
01/06/1999;1515,95;0,19;1,05;3,96;3,96;3,32
01/07/1999;1532,47;1,09;1,59;4,36;5,09;4,57
01/08/1999;1541,05;0,56;1,85;3,86;5,68;5,69
01/09/1999;1545,83;0,31;1,97;3,05;6,01;6,25
01/10/1999;1564,23;1,19;2,07;3,69;7,27;7,5
01/11/1999;1579,09;0,95;2,47;4,36;8,29;8,65
01/12/1999;1588,56;0,6;2,76;4,79;8,94;8,94
01/01/2000;1598,41;0,62;2,19;4,3;0,62;8,85
01/02/2000;1600,49;0,13;1,36;3,86;0,75;7,86
01/03/2000;1604,01;0,22;0,97;3,76;0,97;6,92
01/04/2000;1610,75;0,42;0,77;2,97;1,4;6,77
01/05/2000;1610,91;0,01;0,65;2,02;1,41;6,47
