ano;id_uf;sigla_uf;pib;impostos_liquidos;va;va_agropecuaria;va_industria;va_servicos;va_adespss
2002;11;RO;7467629886;839731192;6627898698;715526872;1191090432;2484579193;2236702207
2003;11;RO;9425010486;1108434936;8316575548;1278658831;1216605061;3376727040;2444584625
2004;11;RO;11004641436;1288806654;9715834778;1288515348;1674933817;3986529419;2765856199
2005;11;RO;12511821181;1476144194;11035676990;1342222120;1887932121;4603783904;3201738843
2006;11;RO;13054713344;1613809974;11440903374;1238006193;2210692147;4320526746;3671678293
2007;11;RO;14438376499;1766358842;12672017662;1431792087;2200048388;5107622177;3932554997
2008;11;RO;17285541726;2050713346;15234828376;2030130654;2463867818;6179992618;4560837285
2009;11;RO;19725009504;2289825239;17435184264;2116597096;3214988676;6890252624;5213345867
2010;11;RO;23907886882;2950929036;20956957849;2295537137;4779253947;8011723773;5870442984
2011;11;RO;27574714379;3382983866;24191730509;2510828777;5920619024;9255080227;6505202475
2012;11;RO;30112720320;3549852691;26562867625;3291666459;5555132871;10523965933;7192102357
2013;11;RO;31121412531;3434747084;27686665450;3329660606;5340850324;10990333916;8025820601
2014;11;RO;34030981973;3654797531;30376184440;3867529180;5449765822;12521672137;8537217302
2015;11;RO;36563332700;3989257184;32574075511;4353427356;6039153435;13123008886;9058485838
2016;11;RO;39460358978;4075523460;35384835521;4914567473;6572650973;14004784331;9892832744
2017;11;RO;43516147492;4235099382;39281048108;5876784259;8193983928;14450296420;10759983506
2018;11;RO;44913978486;4654189015;40259789474;5731718700;7063046287;16082571950;11382452532
2019;11;RO;47091335805;5053962411;42037373390;5852814369;6936573756;17482423180;11765562096
2020;11;RO;51598741456;5360626779;46238114681;6891411669;8285675423;19060688172;12000339417
2002;12;AC;2971301277;228471013;2742830264;284337190;355041179;1071069387;1032382508
2003;12;AC;3377234250;274851740;3102382509;381300072;295100733;1243563948;1182417760
2004;12;AC;3784002575;326711486;3457291088;344649774;419814012;1391429579;1301397726
2005;12;AC;4300581271;389565868;3911015403;411353664;415901549;1597981671;1485778519
2006;12;AC;4661806953;465522107;4196284845;359336532;437073363;1668465643;1731409304
2007;12;AC;5458172173;504531233;4953640944;380407229;598473992;2003687723;1971071996
2008;12;AC;6410254679;557107131;5853147546;500641174;586081687;2509774869;2256649812
2009;12;AC;7407821405;623026654;6784794751;502613068;974339723;2796891229;2510950732
2010;12;AC;8342355523;777801522;7564554004;784374716;1091621584;2926812657;2761745046
2011;12;AC;8949433758;784145891;8165287869;862625329;942665394;3355855284;3004141864
2012;12;AC;10137924705;988545087;9149379618;957229306;1039346210;3732117248;3420686860
2013;12;AC;11473930166;990406861;10483523305;1182070987;1107063896;4245148079;3949240343
2014;12;AC;13458697630;1109711653;12348985976;1324890583;1401516813;5265059717;4357518864
2015;12;AC;13622801799;1179674731;12443127069;1346477497;1248791758;5309718268;4538139548
2016;12;AC;13754239978;1254239175;12500000805;1457713747;1075591295;5087576651;4879119108
2017;12;AC;14272940594;1437276669;12835663924;1342187256;1023095600;5280288945;5190092126
2018;12;AC;15331122590;1709065481;13622057108;1211596865;1092994192;5860255387;5457210663
2019;12;AC;15630016942;1690725713;13939291228;1044957696;997676011;6222757172;5673900349
2020;12;AC;16476370837;1679899793;14796471045;983531817;1191345379;6590543336;6031050521
2002;13;AM;22093338008;3876992799;18216345208;1239199988;7770508485;5965772157;3240864579
2003;13;AM;25862134092;4405652700;21456481392;1242909474;9512317229;7042094631;3659160055
2004;13;AM;31090695798;5850741248;25239954551;1163553228;11282178801;8706641447;4087581072
2005;13;AM;33980876529;5914591321;28066285213;1062898325;12232622260;9951408267;4819356356
2006;13;AM;39933212635;6671482414;33261730218;1258784541;14832388593;11367302631;5803254457
2007;13;AM;43479773086;7550984241;35928788844;1209601586;15296869677;13293669774;6128647810
2008;13;AM;48115264642;9411915651;38703348995;1254430053;16131908734;14274130859;7042879351
2009;13;AM;50559839676;8557513848;42002325831;1452858988;16651579557;16177634283;7720253004
2010;13;AM;60877122684;10492909289;50384213395;2219359254;21495795175;17887557870;8781501099
2011;13;AM;70734401222;11626289834;59108111385;4313385350;25079189530;19800919530;9914616985
2012;13;AM;72242700676;12670392962;59572307715;4127920999;22908356965;21585028433;10951001325
2013;13;AM;83051232958;14239236835;68811996119;5165834791;25419430028;25630754116;12595977185
2014;13;AM;86668643770;14770778988;71897864784;5181035235;24785545053;27814443777;14116840712
2015;13;AM;86568184233;13873398141;72694786096;5793489793;24230535899;28112628149;14558132246
2016;13;AM;89039781991;13131292870;75908489123;5879992534;26348685885;28476562978;15203247723
2017;13;AM;93240190919;14742723917;78497467001;5604035132;26055812058;30512813336;16324806476
2018;13;AM;1,00109E+11;15747691358;84361543714;5514897806;28935047335;32505662412;17405936167
2019;13;AM;1,08181E+11;17455843281;90725247718;4970467900;32982648876;33592897361;19179233582
2020;13;AM;1,16019E+11;20058422775;95960716614;5114449144;35839810630;34795836262;20210620577
2002;14;RR;2392032671;174359460;2217673211;70983276;334225265;773172275;1039292399
2003;14;RR;2594080871;187581297;2406499576;95135787;225335273;906225381;1179803132
2004;14;RR;2822756978;205447406;2617309571;110342639;282207605;931473611;1293285717
2005;14;RR;3193430415;244354942;2949075476;98937726;308664970;1035153106;1506319669
2006;14;RR;3802452111;291326739;3511125372;92281423;481265053;1201350258;1736228641
2007;14;RR;4203302125;354670468;3848631658;124213071;358460175;1380373235;1985585178
2008;14;RR;4841862423;407347152;4434515274;127136382;441321411;1590633805;2275423674
2009;14;RR;5671974582;468281398;5203693181;123733131;570388804;1875474093;2634097154
2010;14;RR;6639150477;571823309;6067327167;148648021;818733165;2122913063;2977032922
2011;14;RR;7303719268;581674553;6722044710;175528416;815761473;2401062827;3329691996
2012;14;RR;7711467115;645640013;7065827102;213865270;762519382;2581877104;3507565347
2013;14;RR;9010725277;671397365;8339327910;384113042;1078682591;2911462692;3965069585
2014;14;RR;9744122309;751094997;8993027312;386508284;1010032055;3478905843;4117581130
2015;14;RR;10242905137;801566544;9441338591;516328412;900131801;3461310886;4563567493
2016;14;RR;11013237213;835733607;10177503604;563899114;872475111;3740704770;5000424614
2017;14;RR;12104709147;921878239;11182830907;609139184;960504989;4081352099;5531834638
2018;14;RR;13369987723;1102898515;12267089207;640832060;1355496352;4616996335;5653764461
2019;14;RR;14292227131;1295658423;12996568708;718022151;1009374826;5076143992;6193027733
2020;14;RR;16024275696;1500036536;14524239158;1000907462;1706511471;5278754961;6538065265
2002;15;PA;26482158871;2568294792;23913864078;3465780342;6127765556;9281332265;5038985927
2003;15;PA;30270151871;3079543210;27190608658;4032022848;6919947291;10425928911;5812709602
2004;15;PA;37272725891;3348291626;33924434262;4231384692;9696801550;13559101289;6437146733
2005;15;PA;40522893486;3991798341;36531095140;4621698125;10102356759;14568849663;7238190590
2006;15;PA;45983026806;4705277210;41277749601;5094226462;11373927848;16921686954;7887908331
2007;15;PA;51846876319;5236135004;46610741314;5238137716;11946338142;20085819945;9340445504
2008;15;PA;60956978232;5959448869;54997529353;5376136678;17023486234;21935188032;10662718399
2009;15;PA;61665095568;6233300773;55431794799;5940593569;12720934143;24438810977;12331456095
2010;15;PA;82684517799;7163155672;75521362132;8076833571;26792382336;26821214952;13830931273
2011;15;PA;98710735865;8169432001;90541303865;8971607794;34636072567;30626482672;16307140833
2012;15;PA;1,07081E+11;9728825474;97352055449;10177461197;32488198494;36294946964;18391448798
2013;15;PA;1,21225E+11;10828177677;1,10397E+11;14532626147;36630082911;38179612269;21054347596
2014;15;PA;1,24585E+11;11583305890;1,13002E+11;13436405920;33311858045;42994151968;23259223193
2015;15;PA;1,309E+11;12587006245;1,18312E+11;14500058909;33186297864;44834349143;25791792950
2016;15;PA;1,38108E+11;13279184967;1,24828E+11;17167979564;31529492424;47962380324;28168476962
2017;15;PA;1,55232E+11;13583365709;1,41649E+11;16743181599;43802183118;50120765866;30982907497
2018;15;PA;1,6135E+11;14460486929;1,46889E+11;14967854033;45502447420;54001480126;32417333529
2019;15;PA;1,78377E+11;16467789713;1,61909E+11;14944393614;55476708365;57019743114;34468348725
2020;15;PA;2,15936E+11;18021964332;1,97914E+11;19730656823;84173852308;56395092425;37614037902
2002;16;AP;3173342678;199411105;2973931571;41189817;322066173;1286573937;1324101644
2003;16;AP;3413195152;219680770;3193514381;39602849;386985270;1314785686;1452140573
