data;valor
01/01/2003;70,23115
01/02/2003;71,50647
01/03/2003;71,03026
01/04/2003;70,59430
01/05/2003;69,91287
01/06/2003;70,02401
01/07/2003;69,17927
01/08/2003;69,68172
01/09/2003;71,28608
01/10/2003;71,15015
01/11/2003;71,33647
01/12/2003;71,17521
01/01/2004;72,46389
01/02/2004;73,25925
01/03/2004;74,05623
01/04/2004;74,40924
01/05/2004;74,35066
01/06/2004;74,98168
01/07/2004;75,26439
01/08/2004;75,60320
01/09/2004;76,37664
01/10/2004;75,83445
01/11/2004;76,69201
01/12/2004;76,10127
01/01/2005;76,58051
01/02/2005;77,06962
01/03/2005;77,17342
01/04/2005;77,72911
01/05/2005;77,66362
01/06/2005;77,16947
01/07/2005;77,15420
01/08/2005;77,76065
01/09/2005;77,55178
01/10/2005;77,57710
01/11/2005;78,21667
01/12/2005;78,84386
01/01/2006;79,43354
01/02/2006;79,50207
01/03/2006;79,37173
01/04/2006;79,88950
01/05/2006;80,92504
01/06/2006;79,95344
01/07/2006;81,47107
01/08/2006;81,48180
01/09/2006;81,68226
01/10/2006;82,54063
01/11/2006;83,14267
01/12/2006;84,17383
01/01/2007;83,86701
01/02/2007;84,10662
01/03/2007;83,58801
01/04/2007;84,67050
01/05/2007;85,46089
01/06/2007;85,96834
01/07/2007;86,59619
01/08/2007;86,74758
01/09/2007;87,44112
01/10/2007;88,29780
01/11/2007;88,25546
01/12/2007;89,02269
01/01/2008;89,08048
01/02/2008;89,02341
01/03/2008;88,33665
01/04/2008;89,55760
01/05/2008;90,43939
01/06/2008;91,24398
01/07/2008;91,28925
01/08/2008;91,45443
01/09/2008;91,47165
01/10/2008;89,62081
01/11/2008;87,41284
01/12/2008;85,04143
01/01/2009;84,78082
01/02/2009;85,50501
01/03/2009;86,04371
01/04/2009;86,30667
01/05/2009;87,22501
01/06/2009;87,76311
01/07/2009;87,96265
01/08/2009;89,39071
01/09/2009;90,14438
01/10/2009;90,83889
01/11/2009;90,94536
01/12/2009;92,30910
01/01/2010;93,57618
01/02/2010;94,52454
01/03/2010;95,56427
01/04/2010;95,90683
01/05/2010;95,23393
01/06/2010;95,01107
01/07/2010;95,58050
01/08/2010;96,18092
01/09/2010;97,02072
01/10/2010;96,85487
01/11/2010;97,98456
01/12/2010;96,92949
01/01/2011;98,10532
01/02/2011;98,57375
01/03/2011;98,52938
01/04/2011;98,53672
01/05/2011;98,81828
01/06/2011;99,12699
01/07/2011;99,26800
01/08/2011;99,21621
01/09/2011;99,06658
01/10/2011;99,00175
01/11/2011;99,49213
01/12/2011;98,55546
01/01/2012;97,40518
01/02/2012;98,26666
01/03/2012;98,06309
01/04/2012;98,38205
01/05/2012;99,62478
01/06/2012;100,33945
01/07/2012;100,51105
01/08/2012;100,81136
01/09/2012;100,41049
01/10/2012;101,26120
01/11/2012;101,10574
01/12/2012;100,65859
01/01/2013;101,54990
01/02/2013;100,29752
01/03/2013;101,37960
01/04/2013;102,47335
01/05/2013;102,61634
01/06/2013;102,28408
01/07/2013;102,66998
01/08/2013;102,92891
01/09/2013;103,41456
01/10/2013;103,38675
01/11/2013;103,67138
01/12/2013;103,98092
01/01/2014;104,10493
01/02/2014;103,33983
01/03/2014;103,23255
01/04/2014;102,77838
01/05/2014;102,39281
01/06/2014;100,21911
01/07/2014;101,02896
01/08/2014;101,84135
01/09/2014;102,43093
01/10/2014;101,53761
01/11/2014;101,70587
01/12/2014;102,14826
01/01/2015;101,21789
01/02/2015;100,78470
01/03/2015;100,49469
01/04/2015;99,08075
01/05/2015;98,45096
01/06/2015;97,54178
01/07/2015;96,38486
01/08/2015;96,86689
01/09/2015;96,15685
01/10/2015;96,48884
01/11/2015;95,57453
01/12/2015;95,20894
01/01/2016;94,66226
01/02/2016;94,74393
01/03/2016;94,09411
01/04/2016;94,06800
01/05/2016;93,81383
01/06/2016;94,04903
01/07/2016;93,70009
01/08/2016;93,41168
01/09/2016;93,56455
01/10/2016;93,12335
01/11/2016;93,09519
01/12/2016;92,76336
01/01/2017;93,05591
01/02/2017;94,62367
01/03/2017;94,50972
01/04/2017;94,60644
01/05/2017;94,16546
01/06/2017;94,97563
01/07/2017;95,01986
01/08/2017;94,70182
01/09/2017;94,75708
01/10/2017;94,93723
01/11/2017;95,03450
01/12/2017;96,23112
01/01/2018;95,81567
01/02/2018;95,53048
01/03/2018;95,31633
01/04/2018;95,98808
01/05/2018;93,16104
01/06/2018;95,72684
01/07/2018;96,21743
01/08/2018;96,78176
01/09/2018;96,41957
01/10/2018;96,63611
01/11/2018;96,78641
01/12/2018;97,06557
01/01/2019;97,10749
01/02/2019;96,48821
01/03/2019;95,72091
01/04/2019;95,67285
01/05/2019;97,07555
01/06/2019;96,73976
01/07/2019;96,37548
01/08/2019;96,64917
01/09/2019;97,00754
01/10/2019;98,06511
01/11/2019;97,82829
01/12/2019;97,59387
01/01/2020;97,67330
01/02/2020;97,79657
01/03/2020;91,36120
01/04/2020;83,03874
01/05/2020;85,40683
01/06/2020;89,37575
01/07/2020;91,66985
01/08/2020;93,56053
01/09/2020;95,34074
01/10/2020;97,29482
01/11/2020;97,44269
01/12/2020;97,68774
01/01/2021;97,89283
01/02/2021;98,78724
01/03/2021;95,27117
01/04/2021;96,32836
01/05/2021;96,98365
01/06/2021;96,79721
01/07/2021;96,31464
01/08/2021;97,07568
01/09/2021;96,95969
01/10/2021;97,48142
01/11/2021;98,97262
01/12/2021;99,35339
01/01/2022;97,34401
01/02/2022;98,43725
01/03/2022;99,55981
01/04/2022;99,51646
01/05/2022;99,67415
01/06/2022;99,63430
01/07/2022;101,27684
01/08/2022;101,07328
01/09/2022;101,17973
01/10/2022;101,46342
01/11/2022;100,66227
01/12/2022;100,58196
01/01/2023;100,05178
01/02/2023;103,00964
01/03/2023;103,09341
01/04/2023;104,16260
01/05/2023;102,36420
01/06/2023;102,50431
01/07/2023;102,83357
01/08/2023;102,45222
01/09/2023;102,57885
01/10/2023;102,87707
01/11/2023;103,52800
01/12/2023;104,89910
01/01/2024;104,53245
01/02/2024;104,75961
01/03/2024;104,70970
01/04/2024;104,75682
01/05/2024;105,70704
01/06/2024;106,57623
01/07/2024;106,88756
01/08/2024;107,14396
01/09/2024;107,99916
01/10/2024;108,15356
01/11/2024;107,98489
01/12/2024;107,44467
01/01/2025;108,06979
01/02/2025;108,77346
01/03/2025;110,09056
01/04/2025;109,72323
01/05/2025;109,00057
01/06/2025;108,76683
01/07/2025;108,27053
01/08/2025;108,80021
01/09/2025;108,63642
01/10/2025;108,71590
01/11/2025;109,27405
01/12/2025;109,41762
01/01/2026;110,05486
01/02/2026;110,65892
01/03/2026;110,51078
01/04/2026;110,95732
01/05/2026;111,03587
