Ticker;Nome_Empresa;Setor;Subsetor;Tipo_Ativo
SBSP3;CIA SANEAMENTO BASICO EST SAO PAULO;Utilities;Água e Saneamento;stock
B3SA3;B3 S.A. - BRASIL. BOLSA. BALCÃO;Finance;Dados Financeiros e Bolsas de Valores;stock
BBAS3;BCO BRASIL S.A.;Finance;Bancos Diversificados;stock
BBDC4;BCO BRADESCO S.A.;Finance;Bancos Diversificados;stock
ITUB4;ITAU UNIBANCO HOLDING S.A.;Finance;Bancos Diversificados;stock
COGN3;COGNA EDUCAÇÃO S.A.;Commercial Services;Serviços Educacionais;stock
PETR4;PETROLEO BRASILEIRO S.A. PETROBRAS;Energy Minerals;Petróleo e Gás Integrado;stock
ABEV3;AMBEV S.A.;Consumer Non-Durables;Cervejas e Refrigerantes;stock
BEEF3;MINERVA S.A.;Distribution Services;Carnes e Derivados;stock
MGLU3;MAGAZINE LUIZA S.A.;Retail Trade;Varejo Especializado;stock
CSAN3;COSAN S.A.;Utilities;Exploração, Refino e Distribuição;stock
LREN3;LOJAS RENNER S.A.;Retail Trade;Tecidos, Vestuário e Calçados;stock
CMIG4;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Utilities;Energia Elétrica;stock
CPLE3;CIA PARANAENSE DE ENERGIA - COPEL;Utilities;Energia Elétrica;stock
ITSA4;ITAUSA S.A.;Finance;;stock
HAPV3;HAPVIDA PARTICIPACOES E INVESTIMENTOS SA;Health Services;Serviços Médicos Hospitalares;stock
VALE3;VALE S.A.;Non-Energy Minerals;Mineração de Minerais Metálicos;stock
GMAT3;GRUPO MATEUS S.A.;Retail Trade;Alimentos;stock
EQTL3;EQUATORIAL S.A.;Utilities;Energia Elétrica;stock
FNOR11;FNOR11;;;fund
MRVE3;MRV ENGENHARIA E PARTICIPACOES S.A.;Consumer Durables;Incorporações;stock
LWSA3;LWSA S.A.;Technology Services;Programas e Serviços;stock
POMO4;MARCOPOLO S.A.;Producer Manufacturing;;stock
CVCB3;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;Consumer Services;Viagens e Turismo;stock
BPAC11;BCO BTG PACTUAL S.A.;Finance;Bancos;stock
BRKM5;BRASKEM S.A.;Process Industries;Petroquímicos;stock
CSNA3;CIA SIDERURGICA NACIONAL;Non-Energy Minerals;Siderurgia;stock
ANIM3;ANIMA HOLDING S.A.;Consumer Services;Serviços Educacionais;stock
RAIL3;RUMO S.A.;Transportation;Transporte Ferroviário;stock
ENEV3;ENEVA S.A;Utilities;Energia Elétrica;stock
PMAM3;PARANAPANEMA S.A.;Non-Energy Minerals;Artefatos de Cobre;stock
RENT3;LOCALIZA RENT A CAR S.A.;Finance;Aluguel de Carros;stock
CYRE3;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;Finance;Incorporações;stock
GOAU4;METALURGICA GERDAU S.A.;Non-Energy Minerals;Siderurgia;stock
GGBR4;GERDAU S.A.;Non-Energy Minerals;Siderurgia;stock
RDOR3;REDE DOR SÃO LUIZ S.A.;Health Services;Serviços Médicos Hospitalares;stock
RADL3;RAIA DROGASIL S.A.;Retail Trade;Medicamentos e Outros Produtos;stock
PETR3;PETROLEO BRASILEIRO S.A. PETROBRAS;Energy Minerals;Exploração. Refino e Distribuição;stock
UGPA3;ULTRAPAR PARTICIPACOES S.A.;Retail Trade;Exploração, Refino e Distribuição;stock
YDUQ3;YDUQS PARTICIPACOES S.A.;Commercial Services;Serviços Educacionais;stock
DIRR3;DIRECIONAL ENGENHARIA S.A.;Finance;Incorporações;stock
CEAB3;CEA MODAS S.A.;Retail Trade;Tecidos. Vestuário e Calçados;stock
SUZB3;SUZANO S.A.;Process Industries;Papel e Celulose;stock
TIMS3;TIM S.A.;Communications;Telecomunicações;stock
LIGT3;LIGHT S.A.;Utilities;Energia Elétrica;stock
USIM5;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Non-Energy Minerals;Siderurgia;stock
WEGE3;WEG S.A.;Producer Manufacturing;Máquinas e Equipamentos;stock
CSMG3;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;Utilities;Água e Saneamento;stock
BBDC3;BCO BRADESCO S.A.;Finance;Bancos;stock
KLBN11;KLABIN S.A.;Non-Energy Minerals;Papel e Celulose;stock
BBSE3;BB SEGURIDADE PARTICIPAÇÕES S.A.;Finance;Seguradoras;stock
VIVT3;TELEFÔNICA BRASIL S.A;Communications;Telecomunicações;stock
ENGI11;ENERGISA S.A.;Utilities;Energia Elétrica;stock
NATU3;NATURA COSMETICOS S.A.;Consumer Non-Durables;Produtos de Uso Pessoal;stock
