column,rows,non_null,missing,missing_pct,min,max
ibc_br,176,174,2,1.14,82.96008,110.93102
selic,176,176,0,0.0,2.0,15.0
usd_brl,176,176,0,0.0,1.7092,6.1923
usd_brl_volatility,176,176,0,0.0,0.006553026542703622,0.09554712318062786
selic_change,176,175,1,0.57,-1.0,1.5
usd_brl_return,176,175,1,0.57,-0.10717365302773219,0.15560050681307924
ipca_12m,176,175,1,0.57,1.88,12.13
ipca_month,176,175,1,0.57,-0.68,1.62
unemployment,176,172,4,2.27,5.1,14.9
pib_index,176,171,5,2.84,153.17,197.34
ibovespa,176,176,0,0.0,40405.99,188786.98
ifnc,176,176,0,0.0,3360.37,20601.38
icon,176,176,0,0.0,1773.86,5497.85
iee,176,140,36,20.45,24033.84,139021.25
ibovespa_return_1m,176,176,0,0.0,-0.29904329943380914,0.169683454589046
ibovespa_return_3m,176,176,0,0.0,-0.368588825109598,0.3342204955255397
ibovespa_volatility_3m_ann,176,176,0,0.0,0.008581939116744007,0.7868173762146966
ibovespa_drawdown,176,176,0,0.0,-0.41087718172765275,0.0
ifnc_return_1m,176,176,0,0.0,-0.3263284398674714,0.23340527945690215
ifnc_return_3m,176,176,0,0.0,-0.38604903057546747,0.39106933812512956
ifnc_volatility_3m_ann,176,176,0,0.0,0.03373451739498339,0.7328004205708867
ifnc_drawdown,176,176,0,0.0,-0.38604903057546747,0.0
icon_return_1m,176,176,0,0.0,-0.3151236272662291,0.17670622001624836
icon_return_3m,176,176,0,0.0,-0.3610365399662393,0.39451649439907954
icon_volatility_3m_ann,176,176,0,0.0,0.023370216706764268,0.9003686933054581
icon_drawdown,176,176,0,0.0,-0.5742590285293343,0.0
iee_return_1m,176,139,37,21.02,-0.23697478213049872,0.19524285297596977
iee_return_3m,176,137,39,22.16,-0.2476459732776386,0.37014388515814933
iee_volatility_3m_ann,176,137,39,22.16,0.025385356888863307,0.620749422709689
iee_drawdown,176,140,36,20.45,-0.26380161506814626,0.0
ibc_br_change,176,173,3,1.7,-0.09107345370609066,0.0455158778480762
pib_change_3m,176,168,8,4.55,-0.08876197275269215,0.07925834040608493
unemployment_change,176,171,5,2.84,-0.6999999999999993,0.7000000000000011
