date,ipca_12m,ipca_month,unemployment,pib_index
2012-01-31,6.22,0.56,,
2012-02-29,5.84,0.45,,
2012-03-31,5.24,0.21,8.0,165.23
2012-04-30,5.1,0.64,7.8,165.23
2012-05-31,4.99,0.36,7.7,165.23
2012-06-30,4.92,0.08,7.6,168.22
2012-07-31,5.2,0.43,7.5,168.22
2012-08-31,5.24,0.41,7.3,168.22
2012-09-30,5.28,0.57,7.1,171.1
2012-10-31,5.45,0.59,6.9,171.1
2012-11-30,5.53,0.6,6.8,171.1
2012-12-31,5.84,0.79,6.9,171.16
2013-01-31,6.15,0.86,7.2,171.16
2013-02-28,6.31,0.6,7.8,171.16
2013-03-31,6.59,0.47,8.0,172.09
2013-04-30,6.49,0.55,7.9,172.09
2013-05-31,6.5,0.37,7.6,172.09
2013-06-30,6.7,0.26,7.5,174.44
2013-07-31,6.27,0.03,7.4,174.44
2013-08-31,6.09,0.24,7.2,174.44
2013-09-30,5.86,0.35,7.0,175.28
2013-10-31,5.84,0.57,6.8,175.28
2013-11-30,5.77,0.54,6.5,175.28
2013-12-31,5.91,0.92,6.2,175.56
2014-01-31,5.59,0.55,6.5,175.56
2014-02-28,5.68,0.69,6.8,175.56
2014-03-31,6.15,0.92,7.2,177.03
2014-04-30,6.28,0.67,7.2,177.03
2014-05-31,6.37,0.46,7.0,177.03
2014-06-30,6.52,0.4,6.9,174.43
2014-07-31,6.5,0.01,7.0,174.43
2014-08-31,6.51,0.25,7.0,174.43
2014-09-30,6.75,0.57,6.8,174.33
2014-10-31,6.59,0.42,6.7,174.33
2014-11-30,6.56,0.51,6.6,174.33
2014-12-31,6.41,0.78,6.6,175.24
2015-01-31,7.14,1.24,6.9,175.24
2015-02-28,7.7,1.22,7.5,175.24
2015-03-31,8.13,1.32,8.0,173.84
2015-04-30,8.17,0.71,8.1,173.84
2015-05-31,8.47,0.74,8.2,173.84
2015-06-30,8.89,0.79,8.4,169.76
2015-07-31,9.56,0.62,8.6,169.76
2015-08-31,9.53,0.22,8.8,169.76
2015-09-30,9.49,0.54,9.0,166.96
2015-10-31,9.93,0.82,9.1,166.96
2015-11-30,10.48,1.01,9.1,166.96
2015-12-31,10.67,0.96,9.1,165.68
2016-01-31,10.71,1.27,9.6,165.68
2016-02-29,10.36,0.9,10.3,165.68
2016-03-31,9.39,0.43,11.0,163.31
2016-04-30,9.28,0.61,11.3,163.31
2016-05-31,9.32,0.78,11.3,163.31
2016-06-30,8.84,0.35,11.4,163.74
2016-07-31,8.74,0.52,11.7,163.74
2016-08-31,8.97,0.44,11.9,163.74
2016-09-30,8.48,0.08,11.9,162.87
2016-10-31,7.87,0.26,11.9,162.87
2016-11-30,6.99,0.18,12.0,162.87
2016-12-31,6.29,0.3,12.1,162.68
2017-01-31,5.35,0.38,12.7,162.68
2017-02-28,4.76,0.33,13.3,162.68
2017-03-31,4.57,0.25,13.9,164.36
2017-04-30,4.08,0.14,13.7,164.36
2017-05-31,3.6,0.31,13.4,164.36
2017-06-30,3.0,-0.23,13.1,165.74
2017-07-31,2.71,0.24,12.9,165.74
2017-08-31,2.46,0.19,12.7,165.74
2017-09-30,2.54,0.16,12.5,166.1
2017-10-31,2.7,0.42,12.3,166.1
2017-11-30,2.8,0.28,12.1,166.1
2017-12-31,2.95,0.44,11.9,167.0
2018-01-31,2.86,0.29,12.3,167.0
2018-02-28,2.84,0.32,12.7,167.0
2018-03-31,2.68,0.09,13.2,168.04
2018-04-30,2.76,0.22,13.0,168.04
2018-05-31,2.86,0.4,12.8,168.04
2018-06-30,4.39,1.26,12.6,167.83
2018-07-31,4.48,0.33,12.4,167.83
2018-08-31,4.19,-0.09,12.2,167.83
2018-09-30,4.53,0.48,12.0,169.44
2018-10-31,4.56,0.45,11.8,169.44
2018-11-30,4.05,-0.21,11.7,169.44
2018-12-31,3.75,0.15,11.7,169.02
