IFNC - 1/1/2015 12:00:00 AM 12/31/2026 12:00:00 AM
Mês;Ano;Valor

1;2011;3.429,66
2;2011;3.534,63
3;2011;3.722,00
4;2011;3.585,47
5;2011;3.516,91
6;2011;3.534,55
7;2011;3.238,71
8;2011;3.141,79
9;2011;3.066,17
10;2011;3.398,37
11;2011;3.330,49
12;2011;3.468,11
1;2012;3.672,12
2;2012;3.883,16
3;2012;3.788,57
4;2012;3.522,65
5;2012;3.360,37
6;2012;3.361,96
7;2012;3.641,88
8;2012;3.668,26
9;2012;3.652,20
10;2012;3.556,57
11;2012;3.785,24
12;2012;4.014,49
1;2013;4.074,17
2;2013;4.116,27
3;2013;4.288,00
4;2013;4.164,96
5;2013;4.305,28
6;2013;3.850,32
7;2013;3.862,18
8;2013;3.889,09
9;2013;4.213,61
10;2013;4.544,00
11;2013;4.323,47
12;2013;4.132,34
1;2014;3.824,38
2;2014;3.970,86
3;2014;4.412,12
4;2014;4.690,04
5;2014;4.585,59
6;2014;4.831,41
7;2014;5.063,83
8;2014;5.743,63
9;2014;4.972,47
10;2014;5.159,59
11;2014;5.419,44
12;2014;4.938,59
1;2015;4.672,08
2;2015;5.240,87
3;2015;5.209,79
4;2015;5.680,84
5;2015;5.172,88
6;2015;5.366,72
7;2015;5.147,23
8;2015;4.592,70
9;2015;4.388,61
10;2015;4.458,50
11;2015;4.530,01
12;2015;4.325,09
1;2016;4.151,54
2;2016;4.369,01
3;2016;5.388,76
4;2016;5.775,08
5;2016;5.170,19
6;2016;5.536,21
7;2016;6.116,24
8;2016;6.220,22
9;2016;6.143,07
10;2016;7.009,21
11;2016;6.465,92
12;2016;6.367,49
1;2017;6.927,44
2;2017;7.328,03
3;2017;7.178,88
4;2017;7.286,25
5;2017;6.733,48
6;2017;6.866,06
7;2017;7.146,33
8;2017;7.626,19
9;2017;8.121,90
10;2017;7.998,89
11;2017;7.685,28
12;2017;8.020,86
1;2018;9.567,17
2;2018;9.514,03
3;2018;9.678,91
4;2018;9.279,86
5;2018;7.931,81
6;2018;7.399,54
7;2018;8.276,01
8;2018;7.884,38
9;2018;8.090,79
10;2018;9.430,18
11;2018;10.086,10
12;2018;10.126,84
1;2019;11.521,57
2;2019;11.229,69
3;2019;11.004,45
4;2019;11.142,39
5;2019;11.628,26
6;2019;12.005,39
7;2019;11.854,86
8;2019;11.994,70
9;2019;12.245,31
10;2019;12.846,17
11;2019;12.545,49
12;2019;13.220,73
1;2020;12.722,87
2;2020;12.048,72
3;2020;8.116,88
4;2020;8.410,76
5;2020;8.779,31
6;2020;9.926,25
7;2020;10.850,73
8;2020;9.993,37
9;2020;9.344,67
10;2020;9.341,44
11;2020;10.923,15
12;2020;12.276,50
1;2021;11.477,96
2;2021;10.690,92
3;2021;11.371,36
4;2021;11.461,30
5;2021;12.248,19
6;2021;12.193,03
7;2021;11.713,83
8;2021;11.445,27
9;2021;10.364,93
10;2021;9.779,05
11;2021;9.573,13
12;2021;9.205,71
1;2022;10.781,53
2;2022;10.639,97
3;2022;11.441,15
4;2022;10.072,71
5;2022;10.702,03
6;2022;9.328,54
7;2022;9.664,80
8;2022;10.630,55
9;2022;10.959,09
10;2022;11.714,45
11;2022;10.252,01
12;2022;10.253,49
1;2023;10.403,47
2;2023;9.824,32
3;2023;9.697,20
4;2023;10.460,72
5;2023;11.088,63
6;2023;12.223,63
7;2023;12.378,19
8;2023;11.574,73
9;2023;11.366,16
10;2023;11.043,08
11;2023;12.851,27
12;2023;13.803,59
1;2024;13.167,85
2;2024;13.218,47
3;2024;13.221,58
4;2024;12.514,70
5;2024;12.100,27
6;2024;12.163,37
7;2024;12.538,48
8;2024;14.203,47
9;2024;13.389,02
10;2024;13.094,05
11;2024;12.071,37
12;2024;11.829,57
1;2025;13.111,02
2;2025;12.702,70
3;2025;13.856,09
4;2025;15.141,16
5;2025;15.377,48
6;2025;15.610,55
7;2025;14.376,02
8;2025;15.563,48
9;2025;16.222,59
10;2025;16.250,98
11;2025;17.627,42
12;2025;17.296,03
1;2026;19.868,71
2;2026;20.601,38
3;2026;19.312,06
4;2026;19.328,45
5;2026;17.912,91
6;2026;18.026,55
7;2026;18.886,12
8;2026;16.898,68
