ICON - 1/1/2015 12:00:00 AM 12/31/2026 12:00:00 AM
Mês;Ano;Valor

1;2011;1.525,61
2;2011;1.533,05
3;2011;1.629,59
4;2011;1.672,59
5;2011;1.636,41
6;2011;1.620,21
7;2011;1.524,32
8;2011;1.596,62
9;2011;1.498,44
10;2011;1.618,00
11;2011;1.643,20
12;2011;1.693,07
1;2012;1.773,86
2;2012;1.927,40
3;2012;2.003,75
4;2012;2.055,24
5;2012;1.895,09
6;2012;1.934,40
7;2012;1.975,81
8;2012;2.040,51
9;2012;2.151,05
10;2012;2.249,42
11;2012;2.310,74
12;2012;2.377,83
1;2013;2.482,02
2;2013;2.435,74
3;2013;2.364,45
4;2013;2.423,25
5;2013;2.434,06
6;2013;2.304,13
7;2013;2.334,85
8;2013;2.334,17
9;2013;2.414,62
10;2013;2.414,29
11;2013;2.437,34
12;2013;2.395,54
1;2014;2.194,02
2;2014;2.228,60
3;2014;2.336,63
4;2014;2.371,14
5;2014;2.420,37
6;2014;2.529,48
7;2014;2.554,95
8;2014;2.779,68
9;2014;2.605,52
10;2014;2.760,08
11;2014;2.834,92
12;2014;2.673,54
1;2015;2.603,85
2;2015;2.691,98
3;2015;2.718,59
4;2015;2.861,68
5;2015;2.793,34
6;2015;2.847,94
7;2015;2.826,25
8;2015;2.656,04
9;2015;2.661,64
10;2015;2.621,57
11;2015;2.519,29
12;2015;2.494,91
1;2015;2.603,85
2;2015;2.691,98
3;2015;2.718,59
4;2015;2.861,68
5;2015;2.793,34
6;2015;2.847,94
7;2015;2.826,25
8;2015;2.656,04
9;2015;2.661,64
10;2015;2.621,57
11;2015;2.519,29
12;2015;2.494,91
1;2016;2.376,64
2;2016;2.489,89
3;2016;2.668,88
4;2016;2.686,94
5;2016;2.620,75
6;2016;2.758,47
7;2016;3.036,63
8;2016;3.049,37
9;2016;3.115,70
10;2016;3.128,43
11;2016;2.871,78
12;2016;2.824,88
1;2017;2.917,73
2;2017;2.944,12
3;2017;2.951,58
4;2017;3.145,80
5;2017;3.123,65
6;2017;3.030,12
7;2017;3.203,31
8;2017;3.492,61
9;2017;3.744,59
10;2017;3.648,59
11;2017;3.520,24
12;2017;3.759,89
1;2018;3.811,04
2;2018;3.674,68
3;2018;3.651,14
4;2018;3.611,64
5;2018;3.222,06
6;2018;3.075,33
7;2018;3.277,41
8;2018;3.114,02
9;2018;3.129,76
10;2018;3.271,70
11;2018;3.405,04
12;2018;3.399,97
1;2019;3.818,38
2;2019;3.654,11
3;2019;3.625,62
4;2019;3.928,49
5;2019;3.967,14
6;2019;4.126,17
7;2019;4.513,14
8;2019;4.715,25
9;2019;4.839,88
10;2019;4.744,50
11;2019;4.886,19
12;2019;5.278,33
1;2020;5.471,42
2;2020;4.924,48
3;2020;3.372,66
4;2020;3.968,63
5;2020;4.272,40
6;2020;4.703,23
7;2020;5.061,51
8;2020;4.986,61
9;2020;4.789,32
10;2020;4.652,51
11;2020;5.068,06
12;2020;5.321,24
1;2021;5.252,96
2;2021;4.975,12
3;2021;5.090,55
4;2021;5.129,04
5;2021;5.463,02
6;2021;5.497,85
7;2021;5.210,60
8;2021;5.007,44
9;2021;4.709,56
10;2021;4.251,43
11;2021;3.932,70
12;2021;3.932,12
1;2022;4.020,76
2;2022;3.919,84
3;2022;4.144,68
4;2022;3.556,75
5;2022;3.449,17
6;2022;2.956,21
7;2022;3.227,57
8;2022;3.442,44
9;2022;3.401,94
10;2022;3.615,56
11;2022;3.098,79
12;2022;2.934,98
1;2023;3.021,99
2;2023;2.726,56
3;2023;2.564,34
4;2023;2.587,10
5;2023;2.904,19
6;2023;3.180,89
7;2023;3.251,57
8;2023;2.912,89
9;2023;2.795,65
10;2023;2.546,89
11;2023;2.962,78
12;2023;3.139,98
1;2024;2.878,28
2;2024;2.880,74
3;2024;2.916,92
4;2024;2.742,59
5;2024;2.680,71
6;2024;2.699,30
7;2024;2.753,47
8;2024;2.925,43
9;2024;2.787,61
10;2024;2.787,06
11;2024;2.622,47
12;2024;2.431,66
1;2025;2.477,24
2;2025;2.340,66
3;2025;2.627,85
4;2025;2.960,92
5;2025;3.031,19
6;2025;2.977,24
7;2025;2.714,37
8;2025;2.939,51
9;2025;2.983,37
10;2025;2.996,78
11;2025;3.207,96
12;2025;3.111,90
1;2026;3.338,26
2;2026;3.441,15
3;2026;3.255,71
4;2026;3.084,27
5;2026;2.981,06
6;2026;2.948,41
7;2026;2.866,37
8;2026;2.660,59
