IEEX - 1/1/2015 12:00:00 AM 12/31/2026 12:00:00 AM
Mês;Ano;Valor

1;2015;24.635,26
2;2015;26.521,88
3;2015;27.504,07
4;2015;29.453,36
5;2015;30.202,54
6;2015;30.253,31
7;2015;29.605,90
8;2015;25.839,78
9;2015;25.775,84
10;2015;26.711,21
11;2015;25.242,99
12;2015;24.803,21
1;2016;24.033,84
2;2016;24.618,12
3;2016;27.859,68
4;2016;28.667,19
5;2016;27.039,62
6;2016;30.786,94
7;2016;36.797,87
8;2016;37.048,17
9;2016;36.307,19
10;2016;38.503,88
11;2016;34.789,92
12;2016;36.108,16
1;2017;38.661,59
2;2017;40.518,88
3;2017;39.971,64
4;2017;39.201,52
5;2017;37.832,98
6;2017;38.095,18
7;2017;39.621,29
8;2017;41.184,50
9;2017;41.305,79
10;2017;40.010,30
11;2017;38.901,51
12;2017;39.732,33
1;2018;40.582,98
2;2018;41.965,88
3;2018;41.445,06
4;2018;43.820,67
5;2018;40.116,27
6;2018;38.562,41
7;2018;40.684,00
8;2018;39.715,86
9;2018;39.350,87
10;2018;45.595,48
11;2018;47.257,39
12;2018;49.266,22
1;2019;55.793,07
2;2019;55.826,46
3;2019;57.449,27
4;2019;58.734,74
5;2019;61.954,74
6;2019;63.830,97
7;2019;66.282,51
8;2019;67.856,73
9;2019;68.121,98
10;2019;67.949,19
11;2019;69.397,56
12;2019;76.627,21
1;2020;78.308,77
2;2020;75.555,55
3;2020;57.650,79
4;2020;61.335,14
5;2020;66.370,28
6;2020;70.159,54
7;2020;76.523,66
8;2020;71.966,61
9;2020;68.569,31
10;2020;69.951,35
11;2020;77.283,13
12;2020;82.845,94
1;2021;78.922,76
2;2021;74.396,16
3;2021;80.913,07
4;2021;80.122,10
5;2021;83.618,99
6;2021;80.452,18
7;2021;78.147,84
8;2021;79.946,19
9;2021;78.295,96
10;2021;74.371,37
11;2021;75.885,32
12;2021;76.305,03
1;2022;78.324,28
2;2022;78.061,42
3;2022;85.040,32
4;2022;83.185,41
5;2022;82.865,39
6;2022;78.786,86
7;2022;81.253,39
8;2022;82.251,05
9;2022;78.488,14
10;2022;83.670,05
11;2022;80.766,48
12;2022;78.679,40
1;2023;78.411,71
2;2023;73.453,93
3;2023;74.827,05
4;2023;79.882,48
5;2023;83.118,81
6;2023;91.089,66
7;2023;90.249,67
8;2023;85.111,33
9;2023;85.443,10
10;2023;80.531,63
11;2023;88.965,89
12;2023;94.956,92
1;2024;90.840,84
2;2024;91.201,24
3;2024;88.654,31
4;2024;85.294,00
5;2024;87.311,19
6;2024;88.289,36
7;2024;89.184,95
8;2024;92.892,10
9;2024;89.817,39
10;2024;86.471,46
11;2024;82.074,50
12;2024;77.455,44
1;2025;81.520,65
2;2025;83.654,12
3;2025;85.279,93
4;2025;96.101,00
5;2025;100.517,93
6;2025;101.295,47
7;2025;96.654,78
8;2025;104.005,03
9;2025;108.648,98
10;2025;112.068,91
11;2025;122.622,51
12;2025;123.055,71
1;2026;126.270,22
2;2026;132.056,17
3;2026;132.693,92
4;2026;139.021,25
5;2026;126.796,41
6;2026;128.088,55
7;2026;127.419,41
8;2026;117.712,88
