Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
1,Brasil,30,Número-índice,99.41,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199601,1º trimestre 1996,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,100.60,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199602,2º trimestre 1996,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,104.31,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199603,3º trimestre 1996,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,103.32,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199604,4º trimestre 1996,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,104.43,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199701,1º trimestre 1997,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,104.93,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199702,2º trimestre 1997,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,106.27,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199703,3º trimestre 1997,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,107.16,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199704,4º trimestre 1997,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,105.04,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199801,1º trimestre 1998,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,106.85,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199802,2º trimestre 1998,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,106.81,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199803,3º trimestre 1998,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,105.59,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199804,4º trimestre 1998,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,105.78,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199901,1º trimestre 1999,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,106.34,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199902,2º trimestre 1999,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,106.34,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199903,3º trimestre 1999,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,107.85,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199904,4º trimestre 1999,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,108.98,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200001,1º trimestre 2000,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,110.53,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200002,2º trimestre 2000,90707,PIB a preços de mercado
